trial_index,mode,correct,reaction_time
1,noise,0,350.753
2,noise,0,2078.918
3,noise,0,603.684
4,noise,0,355.108
5,noise,0,257.037
6,noise,0,369.735
7,noise,0,-1.0
8,noise,0,756.829
9,noise,0,449.936
10,noise,0,1580.988
11,noise,0,1508.039
12,noise,0,-1.0
13,noise,0,441.942
14,noise,0,269.519
15,noise,0,-1.0
16,noise,0,-1.0
17,noise,0,-1.0
18,noise,0,102.267
19,noise,0,280.182
20,noise,0,243.042
21,noise,0,526.305
22,noise,0,-1.0
23,noise,0,-1.0
24,noise,0,-1.0
25,noise,0,-1.0
26,noise,0,1034.24
27,noise,0,239.703
28,noise,0,234.512
29,noise,0,267.212
30,noise,0,4669.88
